                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    110,                 1.1882,                 0.8645,                 1.3478,                0.88376,                0.55556,                0.61534,                0.38163,                 1.6377,                 1.2522,                 1.8525,              0.0018931,              0.0018931,              0.0018931
                    111,                 1.1431,                0.86872,                 1.3492,                0.94529,                0.55556,                 0.6693,                0.40756,                 1.6795,                 1.2453,                 1.8836,              0.0018921,              0.0018921,              0.0018921
                    112,                 1.2117,                0.88473,                 1.3333,                0.88063,                0.66667,                0.78739,                 0.4517,                 1.7081,                 1.0682,                 1.9418,              0.0018911,              0.0018911,              0.0018911
                    113,                 1.2087,                0.82589,                 1.3012,                0.85463,                0.65397,                0.78649,                0.44318,                 1.7305,                  1.007,                 1.9826,              0.0018901,              0.0018901,              0.0018901
                    114,                 1.1969,                0.84362,                 1.2854,                0.69243,                0.66667,                0.72355,                0.35319,                 1.9651,                  1.216,                 2.1564,              0.0018891,              0.0018891,              0.0018891
                    115,                 1.2444,                0.86959,                 1.3383,                0.79505,                0.66667,                0.80038,                0.39819,                  1.822,                 1.0744,                 1.9858,              0.0018881,              0.0018881,              0.0018881
                    116,                 1.1408,                0.89663,                 1.3149,                0.80436,                0.72222,                0.79135,                0.39525,                 1.8491,                 1.0428,                 2.1267,              0.0018871,              0.0018871,              0.0018871
                    117,                  1.194,                0.88746,                 1.3411,                0.81625,                0.77778,                0.79672,                0.41038,                 1.8537,                  1.135,                 2.0964,              0.0018862,              0.0018862,              0.0018862
                    118,                 1.1684,                0.84418,                 1.2736,                0.87393,                0.77061,                0.86443,                0.38905,                 1.9991,                 1.2442,                  2.221,              0.0018852,              0.0018852,              0.0018852
                    119,                 1.1823,                0.84841,                 1.3777,                0.92224,                 0.6594,                0.79382,                0.40379,                  1.892,                  1.138,                 2.1835,              0.0018842,              0.0018842,              0.0018842
                    120,                 1.1336,                0.81582,                 1.2943,                      1,                0.76899,                0.89725,                0.40445,                 2.0251,                  1.074,                 2.4003,              0.0018832,              0.0018832,              0.0018832
                    121,                 1.1489,                0.83951,                 1.2853,                0.87903,                0.83333,                0.90292,                0.43471,                 1.8961,                 1.0866,                 2.1857,              0.0018822,              0.0018822,              0.0018822
                    122,                  1.162,                0.79984,                  1.318,                0.88771,                0.87884,                 0.9576,                0.51524,                 1.6823,                0.87133,                  1.998,              0.0018812,              0.0018812,              0.0018812
                    123,                 1.1669,                0.76644,                 1.2947,                0.88509,                0.85663,                0.95864,                 0.5128,                 1.7113,                0.83848,                 1.9995,              0.0018802,              0.0018802,              0.0018802
                    124,                  1.249,                0.86271,                 1.3656,                0.81137,                0.71718,                0.79991,                0.44035,                 1.8867,                0.90544,                 2.1315,              0.0018792,              0.0018792,              0.0018792
                    125,                 1.2623,                0.83588,                 1.3671,                0.96316,                0.61111,                0.82092,                0.42195,                 1.9495,                 1.0494,                 2.1409,              0.0018782,              0.0018782,              0.0018782
                    126,                 1.3907,                0.97189,                  1.468,                0.95825,                0.83333,                0.90996,                0.39316,                 1.9367,                0.97439,                 2.0997,              0.0018772,              0.0018772,              0.0018772
                    127,                 1.2139,                0.81743,                 1.3399,                      1,                0.77092,                0.93227,                0.42676,                 1.9051,                 0.9537,                 2.0973,              0.0018763,              0.0018763,              0.0018763
                    128,                 1.1537,                0.80839,                 1.2824,                0.82045,                0.76227,                0.84498,                0.42791,                 1.9132,                 0.9125,                 2.1486,              0.0018753,              0.0018753,              0.0018753
                    129,                 1.2289,                0.87261,                 1.3313,                0.83268,                0.82964,                0.88718,                0.46542,                 1.8799,                 1.0045,                 2.1532,              0.0018743,              0.0018743,              0.0018743
                    130,                 1.0699,                0.75955,                 1.2699,                 0.7051,                0.88889,                0.86389,                0.37263,                 2.0011,                 1.1742,                 2.3753,              0.0018733,              0.0018733,              0.0018733
                    131,                 1.2004,                  0.919,                 1.3541,                0.75419,                0.88889,                0.85907,                0.36044,                  2.086,                 1.0719,                 2.5673,              0.0018723,              0.0018723,              0.0018723
                    132,                 1.1128,                0.77458,                 1.2509,                0.92073,                0.83333,                0.90625,                 0.3766,                  2.081,                0.93148,                 2.5247,              0.0018713,              0.0018713,              0.0018713
                    133,                 1.1005,                0.82559,                  1.252,                0.93804,                0.88889,                 0.9453,                0.40199,                 1.9772,                0.90941,                 2.2917,              0.0018703,              0.0018703,              0.0018703
